# sourceSeal=3f0bb4a window=10 — a windowDuplicate is the same widget twice inside 10 consecutive draws. distinctWidgets IS A LOWER BOUND: it cannot exceed the sample count, so a pair reporting 28 distinct in 30 draws has a pool of AT LEAST 28 and possibly far more. Only pairs that saturated well below their sample count (the pool-below-window rows) measure a true ceiling.
generator,form,widgetType,verdict,samples,distinctWidgets,windowDuplicates,globalDuplicates,globalDuplicateRate,window
metric-convert,rrDirectionMcq,mcq,pool-above-window,30,19,7,11,0.367,10
g8-tm-rigid-motion,tmRotateProperty,mcq,pool-above-window,30,19,7,11,0.367,10
g8-bv-categorical-association,bvCatGroup,numeric,pool-above-window,30,19,7,11,0.367,10
g1-add-subtract,CountingOnNumeric,numeric,pool-above-window,30,19,7,11,0.367,10
a2-polynomials,pf-zeros__buildExpression,buildExpression,pool-above-window,30,19,7,11,0.367,10
a2-rationals,rf-unlike__buildExpression,buildExpression,pool-above-window,30,19,7,11,0.367,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-transform__numeric,numeric,pool-above-window,30,19,7,11,0.367,10
g12-trig-identities-equations,trig-identities-equations__ti-pythagorean__numeric,numeric,pool-above-window,30,19,7,11,0.367,10
g13-integration-accumulation,integration-accumulation__in-antiderivative__numeric,numeric,pool-above-window,30,19,7,11,0.367,10
prob-fraction,spinner,fractionEntry,pool-above-window,30,19,6,11,0.367,10
shape-hierarchy,cgParallelogramTrapezoid,mcq,pool-above-window,30,19,6,11,0.367,10
g4-place-million,pvAddMcq,mcq,pool-above-window,30,19,6,11,0.367,10
g10-polygons-quadrilaterals,pq-para-tests__numeric,numeric,pool-above-window,30,19,6,11,0.367,10
g10-similarity,sy-proportions-figures__numeric,numeric,pool-above-window,30,19,6,11,0.367,10
g12-limits-continuity,limits-continuity__lc-discontinuity__numeric,numeric,pool-above-window,30,19,6,11,0.367,10
g4-lines-angles,laSymmetryApplicationMcq,mcq,pool-above-window,30,19,5,11,0.367,10
a2-rationals,rf-excluded__numeric,numeric,pool-above-window,30,19,5,11,0.367,10
a2-rationals,rf-reciprocal__mcq,mcq,pool-above-window,30,19,5,11,0.367,10
g10-similarity,sy-sss-similar__numeric,numeric,pool-above-window,30,19,5,11,0.367,10
box-volume,volumeFormula,mcq,pool-above-window,30,19,4,11,0.367,10
g1-add-subtract,MakeTenFirstNumeric,numeric,pool-above-window,30,19,4,11,0.367,10
g13-derivatives-in-context,derivatives-in-context__dc-related-rates__numeric,numeric,pool-above-window,30,19,4,11,0.367,10
power-ten-exponent,negDivide,placeValueTransformLab,pool-above-window,167,20,64,147,0.880,10
power-ten-exponent,negMultiply,placeValueTransformLab,pool-above-window,167,20,60,147,0.880,10
pr-graph-rate-g7,graphUnitPlot,plotPoint,pool-above-window,125,20,58,105,0.840,10
g8-tm-pythagorean-why,tmPythCSquaredA,geometricConstraintLab,pool-above-window,125,20,49,105,0.840,10
g8-tm-pythagorean-why,tmPythLengthFromAreas,geometricConstraintLab,pool-above-window,125,20,47,105,0.840,10
in-definite-power,default,numeric,pool-above-window,100,20,45,80,0.800,10
g8-tm-pythagorean-why,tmPythCSquaredB,geometricConstraintLab,pool-above-window,125,20,40,105,0.840,10
count-on-line,teen,numberLineHop,pool-above-window,100,20,37,80,0.800,10
time-set-clock,halfPast,clockSet,pool-above-window,50,20,20,30,0.600,10
unit-frac-divide,unitDivWhole,fractionEntry,pool-above-window,34,20,11,14,0.412,10
g3-div-fluency,DivSpecialNumeric,numeric,pool-above-window,42,20,11,22,0.524,10
poly-mul-mono,mulNeg,numeric,pool-above-window,34,20,10,14,0.412,10
unit-frac-divide,servingsNumeric,numeric,pool-above-window,34,20,10,14,0.412,10
unit-frac-divide,divideFractionNumerator,quotientReasoningLab,pool-above-window,34,20,10,14,0.412,10
step-function,atBoundary,numeric,pool-above-window,34,20,10,14,0.412,10
pictograph,halfSymbol,numeric,pool-above-window,34,20,10,14,0.412,10
mass,mixedTotal,numeric,pool-above-window,34,20,10,14,0.412,10
cn-conjugate,product,numeric,pool-above-window,34,20,9,14,0.412,10
pq-trapezoid,quadTotal,numeric,pool-above-window,30,20,9,10,0.333,10
hyperbola-anatomy,twoA,numeric,pool-above-window,34,20,9,14,0.412,10
volume,jugCount,numeric,pool-above-window,34,20,9,14,0.412,10
bar-graph,halfDifference,numeric,pool-above-window,34,20,9,14,0.412,10
k0-add-subtract,KoaHowManyLeftNumeric,numeric,pool-above-window,30,20,9,10,0.333,10
g1-shapes-measure,Smg1LengthDifferenceNumeric,numeric,pool-above-window,34,20,9,14,0.412,10
g10-right-triangles,rt-pythagorean-leg__numeric,numeric,pool-above-window,30,20,9,10,0.333,10
g12-trig-identities-equations,trig-identities-equations__ti-tan-cofunction__numeric,numeric,pool-above-window,30,20,9,10,0.333,10
frac-multiply,noticeShared,fractionEntry,pool-above-window,30,20,8,10,0.333,10
inscribed-angle,sameArc,numeric,pool-above-window,34,20,8,14,0.412,10
independence-def,formulaIndependent,numeric,pool-above-window,30,20,8,10,0.333,10
g8-tm-dilation-similarity,tmSimilarSideB,numeric,pool-above-window,30,20,8,10,0.333,10
g1-shapes-measure,Smg1SolidPartsMcq,mcq,pool-above-window,34,20,8,14,0.412,10
g10-coordinate-proofs,cx-perp-proof__numeric,numeric,pool-above-window,30,20,8,10,0.333,10
g13-series-convergence,series-convergence__sc-taylor__numeric,numeric,pool-above-window,30,20,8,10,0.333,10
g10-conditional-probability,conditional-probability__cpr-reversal-error__numeric,numeric,pool-above-window,30,20,8,10,0.333,10
sr-recursive,affine,numeric,pool-above-window,30,20,7,10,0.333,10
poly-read,leading,numeric,pool-above-window,34,20,7,14,0.412,10
prism-surface-area,missingFace,numeric,pool-above-window,34,20,7,14,0.412,10
distributive,factSplit,numeric,pool-above-window,30,20,7,10,0.333,10
g8-bv-judge-fit,bvJudgeCompare,mcq,pool-above-window,30,20,7,10,0.333,10
g2-add-subtract-100,OddEvenOddEvenPairs,oddEvenPairs,pool-above-window,30,20,7,10,0.333,10
g3-mult-fluency,MultMixedSmallNumeric,numeric,pool-above-window,30,20,7,10,0.333,10
a2-complex,cn-neg-eq__buildExpression,buildExpression,pool-above-window,30,20,7,10,0.333,10
a2-rationals,rf-simplify__numeric,numeric,pool-above-window,30,20,7,10,0.333,10
a2-series,sr-inf-apply__numeric,numeric,pool-above-window,30,20,7,10,0.333,10
g10-constructions-proof,cp-hexagon__numeric,numeric,pool-above-window,30,20,7,10,0.333,10
g10-similarity,sy-area-perimeter__numeric,numeric,pool-above-window,30,20,7,10,0.333,10
g13-curve-analysis,curve-analysis__ca-optimisation-applied__numeric,numeric,pool-above-window,30,20,7,10,0.333,10
g13-integration-accumulation,integration-accumulation__in-ftc-unified__numeric,numeric,pool-above-window,30,20,7,10,0.333,10
g2-shapes-shares,Ssg2GridApplyNumeric,numeric,pool-above-window,30,20,6,10,0.333,10
g4-place-million,pvSubtractMcq,mcq,pool-above-window,30,20,6,10,0.333,10
a2-transformations,ft-compose-rule__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
a2-transformations,ft-inverse-graph__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
a2-radicals,re-convert__numeric,exactNumberLab,pool-above-window,30,20,6,10,0.333,10
a2-trig,tf-arc-length__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
g10-constructions-proof,cp-proving-transversal__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
g10-right-triangles,rt-trig-constant__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
g10-similarity,sy-indirect__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
g10-similarity,sy-sas-similar__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
g12-trig-identities-equations,trig-identities-equations__ti-double-basic__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
g13-differential-equations,differential-equations__de-exponential__numeric,numeric,pool-above-window,30,20,6,10,0.333,10
unit-size,ribbonPiece,numeric,pool-above-window,34,20,5,14,0.412,10
g7-tse-expression-build,tseCombineDiff,buildExpression,pool-above-window,30,20,5,10,0.333,10
g8-tm-rigid-motion,tmReflectProperty,mcq,pool-above-window,30,20,5,10,0.333,10
g8-tm-dilation-similarity,tmSimilarSideA,numeric,pool-above-window,30,20,5,10,0.333,10
g12-trig-identities-equations,trig-identities-equations__ti-apply-sum-diff__numeric,numeric,pool-above-window,30,20,5,10,0.333,10
g13-integration-applications,integration-applications__ia-washer__numeric,numeric,pool-above-window,30,20,5,10,0.333,10
attributes,cgEquilateralRightNever,shapeHierarchyLab,pool-above-window,30,20,4,10,0.333,10
g4-fractions,faBenchmarkOrderNumeric,numeric,pool-above-window,30,20,4,10,0.333,10
a2-complex,cn-method-choice__mcq,mcq,pool-above-window,30,20,4,10,0.333,10
g12-polar-parametric,polar-parametric__pp-projectile__numeric,numeric,pool-above-window,30,20,4,10,0.333,10
g12-vectors-matrices,vectors-matrices__vec-rotation__numeric,exactNumberLab,pool-above-window,30,20,4,10,0.333,10
g13-derivatives-in-context,derivatives-in-context__dc-other-forms__numeric,numeric,pool-above-window,30,20,4,10,0.333,10
g13-differential-equations,differential-equations__de-logistic__numeric,numeric,pool-above-window,30,20,4,10,0.333,10
g12-vectors-matrices,vectors-matrices__vec-matrix-arith__numeric,exactNumberLab,pool-above-window,30,20,3,10,0.333,10
multiple-find,blinkLcm,numeric,pool-above-window,30,20,2,10,0.333,10
decimal-align-addsub,changeBack,numeric,pool-above-window,30,20,2,10,0.333,10
a1-exponential,exp-vs-linear__numeric,exactNumberLab,pool-above-window,42,21,13,21,0.500,10
coordinate-plot,plot,plotPoint,pool-above-window,39,21,12,18,0.462,10
solve-mult-div,tickets,numeric,pool-above-window,34,21,11,13,0.382,10
g7-complementary,cornerThree,numeric,pool-above-window,34,21,11,13,0.382,10
arc-measure,ratio,numeric,pool-above-window,34,21,10,13,0.382,10
equal-parts,cutsToPieces,numeric,pool-above-window,34,21,10,13,0.382,10
g1-shapes-measure,Smg1ShapeSidesMcq,mcq,pool-above-window,34,21,9,13,0.382,10
a1-functions-sequences,fn-domain-range__buildExpression,buildExpression,pool-above-window,30,21,9,9,0.300,10
g13-curve-analysis,curve-analysis__ca-first-derivative-test__numeric,numeric,pool-above-window,30,21,9,9,0.300,10
frac-unlike-addsub,addSimplify,fractionEntry,pool-above-window,30,21,8,9,0.300,10
limit-laws,product,numeric,pool-above-window,34,21,8,13,0.382,10
fraction-volume,properFraction,numeric,pool-above-window,30,21,8,9,0.300,10
nl-beyond-one,betweenWhich,numeric,pool-above-window,34,21,8,13,0.382,10
g0-counting,countAddLine,numberLineHop,pool-above-window,30,21,8,9,0.300,10
g10-similarity,sy-scale__numeric,numeric,pool-above-window,30,21,8,9,0.300,10
frac-multiply,unitGrid,fractionGrid,pool-above-window,30,21,7,9,0.300,10
shape-hierarchy,cgRhombusRectangleSometimes,shapeHierarchyLab,pool-above-window,30,21,7,9,0.300,10
g8-esn-compare,esnCompareRatioClose,numeric,pool-above-window,30,21,7,9,0.300,10
g1-add-subtract,BiggerFirstNumeric,numeric,pool-above-window,30,21,7,9,0.300,10
a2-logarithms,lg-graph__mcq,mcq,pool-above-window,30,21,7,9,0.300,10
a2-radicals,re-rationalize__buildExpression,buildExpression,pool-above-window,30,21,7,9,0.300,10
g10-circle-theorems,cr-cyclic-quad__numeric,numeric,pool-above-window,30,21,7,9,0.300,10
g10-circle-theorems,cr-sector-area__numeric,numeric,pool-above-window,30,21,7,9,0.300,10
g10-constructions-proof,cp-transversal-family__numeric,numeric,pool-above-window,30,21,7,9,0.300,10
g10-right-triangles,rt-inverse-trig__numeric,numeric,pool-above-window,30,21,7,9,0.300,10
g10-similarity,sy-side-splitter__numeric,numeric,pool-above-window,30,21,7,9,0.300,10
g12-vectors-matrices,vectors-matrices__vec-dot__numeric,exactNumberLab,pool-above-window,30,21,7,9,0.300,10
metric-convert,rrMetricDivide,numeric,pool-above-window,30,21,6,9,0.300,10
independence-def,conditionalFromDeck,numeric,pool-above-window,30,21,6,9,0.300,10
tiling,equalRows,numeric,pool-above-window,34,21,6,13,0.382,10
g8-bv-judge-fit,bvJudgeShift,mcq,pool-above-window,30,21,6,9,0.300,10
k0-add-subtract,KoaSubDrawingsNumeric,numeric,pool-above-window,30,21,6,9,0.300,10
g4-measure,mcProtractorReadingMcq,mcq,pool-above-window,30,21,6,9,0.300,10
g4-multiply,mbPatternsNumeric,numeric,pool-above-window,30,21,6,9,0.300,10
g4-place-million,pvCommaPeriodsMcq,mcq,pool-above-window,30,21,6,9,0.300,10
a2-complex,cn-complex-plane__plotPoint,plotPoint,pool-above-window,30,21,6,9,0.300,10
a2-radicals,re-conjugates__numeric,exactNumberLab,pool-above-window,30,21,6,9,0.300,10
a2-statistics,si-claim-capstone__mcq,mcq,pool-above-window,30,21,6,9,0.300,10
a2-statistics,si-significance-limits__mcq,mcq,pool-above-window,30,21,6,9,0.300,10
g10-right-triangles,rt-triples__numeric,numeric,pool-above-window,30,21,6,9,0.300,10
g12-limits-continuity,limits-continuity__lc-ivt__numeric,exactNumberLab,pool-above-window,30,21,6,9,0.300,10
g12-limits-continuity,limits-continuity__lc-onesided__numeric,numeric,pool-above-window,30,21,6,9,0.300,10
g12-vectors-matrices,vectors-matrices__vec-applications__numeric,exactNumberLab,pool-above-window,30,21,6,9,0.300,10
g12-vectors-matrices,vectors-matrices__vec-determinant__numeric,exactNumberLab,pool-above-window,30,21,6,9,0.300,10
g13-integration-accumulation,integration-accumulation__in-riemann__numeric,numeric,pool-above-window,30,21,6,9,0.300,10
g13-integration-applications,integration-applications__ia-disc__numeric,numeric,pool-above-window,30,21,6,9,0.300,10
g13-series-convergence,series-convergence__sc-radius__numeric,numeric,pool-above-window,30,21,6,9,0.300,10
a1-quadratics,quad-discriminant__numeric,numeric,pool-above-window,30,21,5,9,0.300,10
a2-rationals,rf-work__numeric,exactNumberLab,pool-above-window,30,21,5,9,0.300,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rrt-pipeline__numeric,exactNumberLab,pool-above-window,30,21,5,9,0.300,10
g12-trig-identities-equations,trig-identities-equations__ti-prove__numeric,numeric,pool-above-window,30,21,5,9,0.300,10
g13-integration-accumulation,integration-accumulation__in-net-change__numeric,numeric,pool-above-window,30,21,5,9,0.300,10
g10-conditional-probability,conditional-probability__cpr-overlap-count__numeric,numeric,pool-above-window,30,21,5,9,0.300,10
negative-intro,absoluteNumeric,numeric,pool-above-window,30,21,4,9,0.300,10
lcm-pair,gcfThree,numeric,pool-above-window,30,21,4,9,0.300,10
a2-polynomials,pf-long-div__numeric,exactNumberLab,pool-above-window,30,21,4,9,0.300,10
a2-rationals,rf-ha__numeric,exactNumberLab,pool-above-window,30,21,4,9,0.300,10
g12-function-analysis,function-analysis__fna-compose-domain__numeric,exactNumberLab,pool-above-window,30,21,4,9,0.300,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-shape__numeric,numeric,pool-above-window,30,21,4,9,0.300,10
g6-data-literacy,ddDataClassSize,numeric,pool-above-window,30,21,3,9,0.300,10
g10-right-triangles,rt-306090-apply__numeric,numeric,pool-above-window,30,21,3,9,0.300,10
line-of-fit,interceptZero,affineRelationshipLab,pool-above-window,250,22,89,228,0.912,10
g8-les-systems-word,lesWordRope,affineRelationshipLab,pool-above-window,125,22,45,103,0.824,10
g8-les-systems-word,lesWordLarger,affineRelationshipLab,pool-above-window,125,22,43,103,0.824,10
decimal-mul-places,bareMul,numeric,pool-above-window,50,22,16,28,0.560,10
power-product,parenPower,numeric,pool-above-window,46,22,12,24,0.522,10
extrema-value,absMinValue,numeric,pool-above-window,34,22,9,12,0.353,10
second-deriv-poly,third,numeric,pool-above-window,34,22,8,12,0.353,10
times-five-ten,clockElapsed,numeric,pool-above-window,34,22,8,12,0.353,10
k0-count-100,kCountBackHop,numberLineHop,pool-above-window,34,22,8,12,0.353,10
g2-measure-money-time,MmtCoinReverseMoneyBoard,moneyBoard,pool-above-window,36,22,8,14,0.389,10
g2-measure-money-time,MmtRulerReadNumeric,numeric,pool-above-window,36,22,8,14,0.389,10
g7-tse-expression-build,tseDistNeg,buildExpression,pool-above-window,30,22,7,8,0.267,10
g10-coordinate-proofs,cx-classify-tri__numeric,numeric,pool-above-window,30,22,7,8,0.267,10
g13-derivatives-in-context,derivatives-in-context__dc-ladder__numeric,numeric,pool-above-window,30,22,7,8,0.267,10
pq-rhombus,diagonalBisect,numeric,pool-above-window,34,22,6,12,0.353,10
tens-problems,chairRows,numeric,pool-above-window,34,22,6,12,0.353,10
pr-constant-k-g7,rrRatioScale,numeric,pool-above-window,30,22,6,8,0.267,10
pr-constant-k-g7,rrTableMissingFirst,numeric,pool-above-window,30,22,6,8,0.267,10
g8-bv-fit-idea,bvFitBalance,mcq,pool-above-window,30,22,6,8,0.267,10
g1-add-subtract,CompareNumeric,numeric,pool-above-window,30,22,6,8,0.267,10
g4-lines-angles,laParallelPerpIdentifyMcq,mcq,pool-above-window,30,22,6,8,0.267,10
a2-trig,tf-amp-period__numeric,numeric,pool-above-window,30,22,6,8,0.267,10
g10-geometry-foundations,gf-corresponding-parts__numeric,numeric,pool-above-window,30,22,6,8,0.267,10
g10-polygons-quadrilaterals,pq-para-diagonals__numeric,numeric,pool-above-window,30,22,6,8,0.267,10
g10-solid-geometry,sg-cavalieri__numeric,exactNumberLab,pool-above-window,30,22,6,8,0.267,10
g12-conic-sections,conic-sections__co-parabola-def__numeric,numeric,pool-above-window,30,22,6,8,0.267,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rrt-list__numeric,exactNumberLab,pool-above-window,30,22,6,8,0.267,10
g6-center-spread,ddCompareIqr,numeric,pool-above-window,30,22,5,8,0.267,10
pq-trapezoid,largestAngle,numeric,pool-above-window,30,22,5,8,0.267,10
pq-para-side,algPerimeter,numeric,pool-above-window,34,22,5,12,0.353,10
negative-intro,riseTemp,numeric,pool-above-window,30,22,5,8,0.267,10
metric-convert,rrRateMultiply,numeric,pool-above-window,30,22,5,8,0.267,10
prism-surface-area,tentFabric,numeric,pool-above-window,34,22,5,12,0.353,10
box-volume,whichMeasure,mcq,pool-above-window,30,22,5,8,0.267,10
pr-constant-k-g7,rrPartWholeMust,mcq,pool-above-window,30,22,5,8,0.267,10
g0-shapes-sorting,shapeRollStackMcq,mcq,pool-above-window,34,22,5,12,0.353,10
a1-polynomials,factor-trinomial__buildExpression,buildExpression,pool-above-window,30,22,5,8,0.267,10
g10-coordinate-proofs,cx-circle-cts__numeric,numeric,pool-above-window,30,22,5,8,0.267,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-slant-find__numeric,exactNumberLab,pool-above-window,30,22,5,8,0.267,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-five-points__numeric,numeric,pool-above-window,30,22,5,8,0.267,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-four-dials__numeric,numeric,pool-above-window,30,22,5,8,0.267,10
g12-trig-identities-equations,trig-identities-equations__ti-general__numeric,numeric,pool-above-window,30,22,5,8,0.267,10
g12-vectors-matrices,vectors-matrices__vec-components__numeric,exactNumberLab,pool-above-window,30,22,5,8,0.267,10
g12-vectors-matrices,vectors-matrices__vec-scalar__numeric,exactNumberLab,pool-above-window,30,22,5,8,0.267,10
variable-meaning,linearRelation,numeric,pool-above-window,30,22,4,8,0.267,10
g7-tse-inequality-build,strictBoundary,exactNumberLab,pool-above-window,30,22,4,8,0.267,10
g8-esn-root-context,esnRootCubeLarge,numeric,pool-above-window,30,22,4,8,0.267,10
g2-add-subtract-100,AddTensNumeric,numeric,pool-above-window,30,22,4,8,0.267,10
a1-functions-sequences,fn-growth-apply__numeric,numeric,pool-above-window,30,22,4,8,0.267,10
g10-polygons-quadrilaterals,pq-square__numeric,numeric,pool-above-window,30,22,4,8,0.267,10
g10-solid-geometry,sg-revolution__numeric,exactNumberLab,pool-above-window,30,22,4,8,0.267,10
g12-conic-sections,conic-sections__co-hyp-ecc__numeric,numeric,pool-above-window,30,22,4,8,0.267,10
g12-trig-identities-equations,trig-identities-equations__ti-tan-ladder__numeric,numeric,pool-above-window,30,22,4,8,0.267,10
g13-derivatives-in-context,derivatives-in-context__dc-differentials__numeric,exactNumberLab,pool-above-window,30,22,4,8,0.267,10
g13-integration-accumulation,integration-accumulation__in-definite-integral__numeric,exactNumberLab,pool-above-window,30,22,4,8,0.267,10
g10-conditional-probability,conditional-probability__cpr-at-least-one__numeric,numeric,pool-above-window,30,22,4,8,0.267,10
lcm-pair,lcd,numeric,pool-above-window,30,22,3,8,0.267,10
g8-tm-rigid-motion,tmTranslateProperty,mcq,pool-above-window,30,22,3,8,0.267,10
g10-geometry-foundations,gf-line-symmetry__numeric,numeric,pool-above-window,30,22,3,8,0.267,10
g12-function-analysis,function-analysis__fna-restricted__numeric,exactNumberLab,pool-above-window,30,22,3,8,0.267,10
g13-integration-applications,integration-applications__ia-average-value__numeric,numeric,pool-above-window,30,22,3,8,0.267,10
g13-integration-applications,integration-applications__ia-cross-sections__numeric,numeric,pool-above-window,30,22,3,8,0.267,10
g2-add-subtract-100,ParitySumNumeric,numeric,pool-above-window,30,22,2,8,0.267,10
g10-constructions-proof,cp-vertical-angles__numeric,numeric,pool-above-window,30,22,2,8,0.267,10
times-nine,theaterSeats,numeric,pool-above-window,50,23,11,27,0.540,10
cn-sum-product,conjProduct,numeric,pool-above-window,34,23,8,11,0.324,10
nl-fraction,waterStops,numeric,pool-above-window,34,23,7,11,0.324,10
pr-unit-rate-g7,recipeFraction,mcq,pool-above-window,30,23,7,7,0.233,10
g0-shapes-sorting,shapeWeightTap,tapDiagram,pool-above-window,34,23,7,11,0.324,10
g0-shapes-sorting,shapeAnyWayTap,tapDiagram,pool-above-window,34,23,7,11,0.324,10
k0-count-100,kSeqNextHop,numberLineHop,pool-above-window,34,23,7,11,0.324,10
g13-integration-accumulation,integration-accumulation__in-usub__numeric,numeric,pool-above-window,30,23,7,7,0.233,10
fn-arith-seq,nextUp,numeric,pool-above-window,30,23,6,7,0.233,10
variable-meaning,tripleMinusEval,numeric,pool-above-window,30,23,6,7,0.233,10
whole-times-fraction,mixedProduct,fractionEntry,pool-above-window,34,23,6,11,0.324,10
tiling,unequalRows,numeric,pool-above-window,34,23,6,11,0.324,10
a1-solving-equations,flip-rule__buildExpression,buildExpression,pool-above-window,30,23,6,7,0.233,10
a2-logarithms,lg-exp-solve__numeric,exactNumberLab,pool-above-window,30,23,6,7,0.233,10
g12-vectors-matrices,vectors-matrices__vec-work__numeric,exactNumberLab,pool-above-window,30,23,6,7,0.233,10
g13-integration-accumulation,integration-accumulation__in-choosing-u__numeric,numeric,pool-above-window,30,23,6,7,0.233,10
grid-count,read,areaModel,pool-above-window,30,23,5,7,0.233,10
prism-surface-area,totalSA,numeric,pool-above-window,34,23,5,11,0.324,10
box-volume,unitCubes,numeric,pool-above-window,30,23,5,7,0.233,10
pr-constant-k-g7,rrDoubleLineSmall,numeric,pool-above-window,30,23,5,7,0.233,10
g8-tm-rigid-motion,tmTransformSort,dragBucket,pool-above-window,30,23,5,7,0.233,10
g4-fractions,faWholeTimesFractionMixed,mixedRegroup,pool-above-window,30,23,5,7,0.233,10
a1-functions-sequences,fn-domain-range__mcq,mcq,pool-above-window,30,23,5,7,0.233,10
a1-quadratics,quad-factor-solve__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
g10-constructions-proof,cp-square-triangle__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
g10-coordinate-proofs,cx-circle-eq__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
g10-similarity,sy-solving-right__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
g12-function-analysis,function-analysis__fna-decompose__numeric,exactNumberLab,pool-above-window,30,23,5,7,0.233,10
g12-limits-continuity,limits-continuity__lc-factor__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
g12-limits-continuity,limits-continuity__lc-rationalize__numeric,exactNumberLab,pool-above-window,30,23,5,7,0.233,10
g12-polar-parametric,polar-parametric__pp-roses__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
g13-differential-equations,differential-equations__de-euler__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
g10-conditional-probability,conditional-probability__cpr-joint-prob__numeric,numeric,pool-above-window,30,23,5,7,0.233,10
grid-count,colTrapRead,areaModel,pool-above-window,30,23,4,7,0.233,10
pct-of-number,rrPercentOver100,numeric,pool-above-window,30,23,4,7,0.233,10
orbit-ecc,flyby,mcq,pool-above-window,34,23,4,11,0.324,10
shape-hierarchy,cgInheritProperty,shapeHierarchyLab,pool-above-window,30,23,4,7,0.233,10
g7-triangle-inequality,wholeCount,numeric,pool-above-window,30,23,4,7,0.233,10
g8-rns-compare-estimate,rnsOrderMixed,dragOrder,pool-above-window,30,23,4,7,0.233,10
g8-bv-fit-idea,bvFitDirection,mcq,pool-above-window,30,23,4,7,0.233,10
a1-quadratics,quad-zero-product__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
a2-polynomials,pf-end-behavior__mcq,mcq,pool-above-window,30,23,4,7,0.233,10
g10-circle-theorems,cr-tangent-apps__numeric,exactNumberLab,pool-above-window,30,23,4,7,0.233,10
g10-coordinate-proofs,cx-circle-position__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
g10-geometry-foundations,gf-translation-rule__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
g10-polygons-quadrilaterals,pq-regular-angles__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
g10-right-triangles,rt-pythagorean-apply__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
g10-solid-geometry,sg-modeling__numeric,exactNumberLab,pool-above-window,30,23,4,7,0.233,10
g10-triangle-congruence,tc-centroid__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
g12-conic-sections,conic-sections__co-parabola-eqn__mcq,mcq,pool-above-window,30,23,4,7,0.233,10
g12-limits-continuity,limits-continuity__lc-series-limit__numeric,exactNumberLab,pool-above-window,30,23,4,7,0.233,10
g13-derivatives-in-context,derivatives-in-context__dc-linearisation__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
g13-integration-applications,integration-applications__ia-area-between__numeric,numeric,pool-above-window,30,23,4,7,0.233,10
g6-center-spread,ddIqrOddSeven,numeric,pool-above-window,30,23,3,7,0.233,10
fn-evaluate,mulOnly,numeric,pool-above-window,30,23,3,7,0.233,10
pr-constant-k-g7,rrSimplifyBuild,buildExpression,pool-above-window,30,23,3,7,0.233,10
pr-constant-k-g7,rrTablePartner,numeric,pool-above-window,30,23,3,7,0.233,10
g7-tse-expression-build,tseDistPosB,buildExpression,pool-above-window,30,23,3,7,0.233,10
g7-tse-inequality-build,graphBuild,numberLineRay,pool-above-window,30,23,3,7,0.233,10
g8-bv-prediction-limits,bvLimitWhy,mcq,pool-above-window,30,23,3,7,0.233,10
g1-add-subtract,CountOnSmallNumeric,numeric,pool-above-window,30,23,3,7,0.233,10
a1-quadratics,quad-formula__numeric,numeric,pool-above-window,30,23,3,7,0.233,10
a2-radicals,re-domains__buildExpression,buildExpression,pool-above-window,30,23,3,7,0.233,10
a2-statistics,si-pvalue-idea__numeric,numeric,pool-above-window,30,23,3,7,0.233,10
g10-geometry-foundations,gf-rotation-rule__numeric,numeric,pool-above-window,30,23,3,7,0.233,10
g10-similarity,sy-dilation__numeric,numeric,pool-above-window,30,23,3,7,0.233,10
g10-solid-geometry,sg-composite-surface__numeric,exactNumberLab,pool-above-window,30,23,3,7,0.233,10
g10-triangle-congruence,tc-midsegment__numeric,numeric,pool-above-window,30,23,3,7,0.233,10
g12-limits-continuity,limits-continuity__lc-derivative__numeric,numeric,pool-above-window,30,23,3,7,0.233,10
