lesson,grade,step,fk_grade,gap,meta_term,prompt
g2p-02-01,2,k3,5.2,3.2,,"To show a 34 cm piece joined to a 20 cm piece on a number line, what is the drawing?"
g2p-02-03,2,i1,5.2,3.2,,Rebuild the whole: the known 40 m stretch is walked; hop the missing part's tens toward 75.
g2p-02-03,2,i2,5.2,3.2,,Rebuild the whole: the known 40 m stretch is walked; hop the missing part's tens toward 75.
g2p-03-02,2,k1,5.2,3.2,,"To show a 34 cm piece joined to a 20 cm piece on a number line, what is the drawing?"
la-02-01,4,k1,7.2,3.2,,"Two lines are the same distance apart everywhere and, when extended forever, never touch. What are they?"
la-02-01,4,k3,7.2,3.2,,"Two lines point in almost the same direction, but they're slowly getting closer together. Are they parallel?"
la-03-03,4,i2,7.2,3.2,,Match each quadrilateral to how many right angles it has.
la-04-02,4,i1,7.2,3.2,,Match each regular shape to its number of symmetry lines.
mc-01-02,4,i1,7.2,3.2,,Match each length to its equivalent in a different unit.
mc-04-01,4,i2,7.2,3.2,,Match each pair of adjacent angles to their combined total.
g1m-02-01,1,i1,4.2,3.2,,"Measure the ribbon. Align zero with its start, choose one-unit blocks, and place four with no gaps or overlaps."
g1m-02-01,1,i2,4.2,3.2,,"Measure the ribbon. Align zero with its start, choose one-unit blocks, and place four with no gaps or overlaps."
g1m-02-02,1,i1,4.2,3.2,,"Measure this rope with one-unit blocks — six of them, touching end to end."
g1m-02-02,1,i2,4.2,3.2,,"Measure this rope with one-unit blocks — six of them, touching end to end."
mmt-03-01,2,ch1,5.2,3.2,,"How many cents is 2 quarters, 1 nickel, and 4 pennies?"
mmt-03-02,2,k3,5.2,3.2,,"How many cents is 1 quarter, 3 dimes, and 1 penny?"
mult-04-03,3,i2,6.2,3.2,,"A pile of t stickers, shared equally among 4 friends, gives 5 stickers each. Build the equation."
mult-05-01,3,k1,6.2,3.2,,Fold the addition table along its doubles diagonal and the numbers match up perfectly. Why?
mb-04-02,4,i2,7.2,3.2,,"Match each division to its quotient (and remainder, if any)."
kcw-01-01,0,k2,3.2,3.2,,A group shows 1 dots. Which numeral names that amount?
kcw-01-02,0,k2,3.2,3.2,,A group shows 6 dots. Which numeral names that amount?
kcw-01-03,0,k2,3.2,3.2,,A group shows 7 dots. Which numeral names that amount?
kcw-01-04,0,ch1,3.2,3.2,,A group shows 8 dots. Which numeral names that amount?
kcw-01-05,0,k1,3.2,3.2,,A group shows 3 dots. Which numeral names that amount?
kcw-01-05,0,ch1,3.2,3.2,,A group shows 7 dots. Which numeral names that amount?
kcw-02-01,0,k2,3.2,3.2,,A group shows 8 dots. Which numeral names that amount?
kcw-02-02,0,k3,3.2,3.2,,A group shows 19 dots. Which numeral names that amount?
kcw-02-03,0,k3,3.2,3.2,,A group shows 12 dots. Which numeral names that amount?
kcw-02-04,0,k1,3.2,3.2,,A group shows 13 dots. Which numeral names that amount?
kcw-03-01,0,k1,3.2,3.2,,A group shows 13 dots. Which numeral names that amount?
kcw-03-01,0,ch1,3.2,3.2,,A group shows 12 dots. Which numeral names that amount?
kcw-03-02,0,k2,3.2,3.2,,A group shows 9 dots. Which numeral names that amount?
kcw-03-04,0,k2,3.2,3.2,,A group shows 6 dots. Which numeral names that amount?
pv2-03-02,4,ch1,7.2,3.2,,"Two games had attendances of 24,600 and 36,800. What is the ACTUAL total attendance, rounded to the nearest thousand?"
smg1-02-02,1,i1,4.2,3.2,,"If you split a whole into fourths, how many equal parts do you get?"
smg1-02-02,1,ch1,4.2,3.2,,"If you split a whole into fourths, how many equal parts do you get?"
ssg2-01-02,2,k1,5.2,3.2,,How many edges does a square pyramid have?
ssg2-01-02,2,k2,5.2,3.2,,How many faces does a square pyramid have?
ssg2-01-02,2,ch1,5.2,3.2,,How many edges does a square pyramid have?
knb-01-01,0,ch1,3.2,3.2,,A group shows 12 dots. Which numeral names that amount?
knb-01-02,0,ch1,3.2,3.2,,A group shows 14 dots. Which numeral names that amount?
knb-01-03,0,k2,3.2,3.2,,A group shows 16 dots. Which numeral names that amount?
knb-01-04,0,k1,3.2,3.2,,A group shows 12 dots. Which numeral names that amount?
knb-02-01,0,k2,3.2,3.2,,A group shows 14 dots. Which numeral names that amount?
knb-02-02,0,k2,3.2,3.2,,A group shows 19 dots. Which numeral names that amount?
knb-03-01,0,k2,3.2,3.2,,A group shows 13 dots. Which numeral names that amount?
knb-03-03,0,k2,3.2,3.2,,A group shows 16 dots. Which numeral names that amount?
koa-02-05,0,k1,3.1,3.1,,10 balloons float away one at a time until 4 have gone. How many balloons are left?
koa-02-05,0,k2,3.1,3.1,,8 balloons float away one at a time until 5 have gone. How many balloons are left?
koa-02-05,0,k3,3.1,3.1,,9 balloons float away one at a time until 3 have gone. How many balloons are left?
koa-02-05,0,ch1,3.1,3.1,,7 balloons float away one at a time until 2 have gone. How many balloons are left?
koa-03-09,0,i2,3.1,3.1,,Show 7 counters on the frame. Then take away zero — leave it exactly as it is.
g2g-03-03,2,ch1,5.1,3.1,,Monday has 5 votes and Tuesday has 9 votes. How many more votes on Tuesday?
khm-01-04,0,i1,3.1,3.1,,"Count 7 beads from a circle — one counter per bead, stopping at the start."
khm-01-04,0,i2,3.1,3.1,,"Count 7 beads from a circle — one counter per bead, stopping at the start."
khm-02-03,0,k1,3.1,3.1,,Counting the same 5 toys from the left or from the right — what happens?
mmt-05-03,2,k2,5.1,3.1,,Monday has 5 votes and Tuesday has 9 votes. How many more votes on Tuesday?
mmt-05-03,2,ch1,5.1,3.1,,Monday has 10 votes and Tuesday has 11 votes. How many more votes on Tuesday?
md-01-01,3,i2,6.1,3.1,,"Slide the minute hand from the 12 around to the 6, counting fives as you pass each number."
md-04-03,3,i2,6.1,3.1,,"To find the area of a 5-by-9 rectangle, sort each break-apart plan: does it give the right total?"
mult-04-05,3,k4,6.1,3.1,,A florist has 3 bunches of 8 tulips. She counts exactly and sells 5 tulips. Exactly how many tulips remain?
pv-02-04,3,i2,6.1,3.1,,"Sort each offered answer: does it pass the ≈600 size check, or does the estimate bust it?"
kgb-03-03,0,k2,3.1,3.1,,Match each group of pieces to the whole shape those pieces can build.
kgb-03-04,0,k1,3.1,3.1,,Match each group of pieces to the whole shape those pieces can build.
kc-01-02,0,k3,3.0,3.0,,The frame is completely full. How many dots? Pick the number.
g3f-03-01,3,i1,6.0,3.0,,Build a fraction that equals exactly one whole using sixths.
g3f-03-01,3,i2,6.0,3.0,,Build a fraction that equals exactly one whole using sixths.
g1m-01-03,1,i1,4.0,3.0,,Use this string as the go-between: compare it fairly with the pole.
g1m-01-03,1,i2,4.0,3.0,,Use this string as the go-between: compare it fairly with the pole.
mult-04-01,3,i1,6.0,3.0,,Sort each story by the operation that counts its total.
mult-05-03,3,k3,6.0,3.0,,"The 7s row alternates odd, even, odd, even… What is 7 × 4?"
g4s-01-03,4,k3,7.0,3.0,,"""Ben has 4 more than Ana"" and ""Ben has 4 times as many as Ana"" — what is the difference?"
pv2-03-03,4,i2,7.0,3.0,,"Sort each number: does front-end estimation AGREE with true rounding (to the same place), or DISAGREE?"
pv-04-02,3,ch1,6.0,3.0,,A truck carries 9 crates with 60 oranges in each. A market orders 500 oranges. How many oranges BEYOND the order does the truck carry?
fr-04-04,3,i2,5.9,2.9,verdict,Match each matchup to its correct verdict — all three chapter rules are in play.
dg4-03-02,4,k1,3.5,-0.5,the relation,Compare the two decimals: 0.5 ? 0.35. Choose the relation that holds.
dg4-03-02,4,k2,3.5,-0.5,the relation,Compare the two decimals: 0.42 ? 0.6. Choose the relation that holds.
dg4-03-02,4,k3,3.5,-0.5,the relation,Compare the two decimals: 0.71 ? 0.75. Choose the relation that holds.
dg4-03-02,4,ch1,3.5,-0.5,the relation,Compare the two decimals: 0.8 ? 0.29. Choose the relation that holds.
dg4-03-03,4,k1,3.5,-0.5,the relation,Compare the two decimals: 0.60 ? 0.6. Choose the relation that holds.
dg4-03-03,4,k2,3.5,-0.5,the relation,Compare the two decimals: 0.3 ? 0.30. Choose the relation that holds.
dg4-03-03,4,k3,3.5,-0.5,the relation,Compare the two decimals: 0.90 ? 0.9. Choose the relation that holds.
dg4-03-03,4,ch1,3.5,-0.5,the relation,Compare the two decimals: 0.7 ? 0.07. Choose the relation that holds.
dg4-03-04,4,k1,3.5,-0.5,the relation,Compare the two decimals: 0.09 ? 0.4. Choose the relation that holds.
g1p-03-04,1,i1,0.5,-0.5,the claim,Explain-by-checking: the claim is that 3 + 9 equals 9 + 3. Start at 9 and count on 3. Where do you land?
g1p-03-04,1,i2,0.5,-0.5,the claim,Explain-by-checking: the claim is that 3 + 9 equals 9 + 3. Start at 9 and count on 3. Where do you land?
fr-04-02,3,k2,1.5,-1.5,the repair,Priya says 3/10 is bigger than 3/4 'because 10 is bigger than 4.' What's the repair?
g1e-03-02,1,i1,-0.9,-1.9,the claim,Check the claim x = 7 for x + 4 = 11: start at 7 and count on 4. Where do you land?
g1e-03-02,1,i2,-0.9,-1.9,the claim,Check the claim x = 7 for x + 4 = 11: start at 7 and count on 4. Where do you land?
fr-03-01,3,k3,0.7,-2.3,the repair,Rio says 2/4 is MORE than 1/2 'because two pieces beat one piece.' What's the repair?
g1e-01-02,1,i1,-1.4,-2.4,the claim,Test the claim 8 + 3 = 11: start at 8 and count on 3. Where do you land?
g1e-01-02,1,i2,-1.4,-2.4,the claim,Test the claim 8 + 3 = 11: start at 8 and count on 3. Where do you land?
fr-03-02,3,i2,0.5,-2.5,The case for,The case for the loyal amount.
